"","cc_id","gender","ALL ORGANS","HEART","KIDNEYS","BLADDER","lymphoid hyperplasia"
"3","001","M",1.25,3,1,1,0
"4","001","M",1.5,4,1,0,1
"5","001","F",1,4,0,0,0
"6","001","F",1.5,0,2,2,2
"14","002","M",2,2,1,3,2
"15","002","M",0.75,2,1,0,0
"16","002","F",0.5,2,0,0,0
"17","002","F",0.5,1,1,0,0
"25","003","M",0.25,1,0,0,0
"26","003","M",0.25,0,1,0,0
"27","003","F",1.25,1,1,1,2
"28","003","F",0.75,1,2,0,0
"36","005","M",0,0,0,0,0
"37","005","M",0,0,0,0,0
"38","005","F",0.5,1,1,0,0
"39","005","F",0.75,1,1,1,0
"47","006","M",0.5,0,1,1,0
"48","006","M",0.25,0,1,0,0
"49","006","F",1,2,2,0,0
"50","006","F",1.25,1,2,2,0
"58","011","M",0.75,0,0,1,2
"59","011","M",1.75,4,2,1,0
"60","011","F",0.75,1,0,2,0
"61","011","F",0.75,0,1,2,0
"69","012","M",0,0,0,0,0
"70","012","M",0,0,0,0,0
"71","012","F",0,0,0,0,0
"72","012","F",0,0,0,0,0
"80","013","M",1.25,0,3,1,1
"81","013","M",1.25,0,3,1,1
"82","013","F",2.25,1,2,3,3
"83","013","F",1.5,1,2,2,1
"92","015","M",0.25,1,0,0,0
"93","015","M",0.25,1,0,0,0
"94","015","F",0,0,0,0,0
"95","015","F",0,0,0,0,0
"103","017","M",0.5,0,2,0,0
"104","017","M",0.25,0,1,0,0
"105","017","F",0.75,1,1,1,0
"106","017","F",1,1,1,2,0
"114","019","M",0.25,0,1,0,0
"115","019","M",0.25,0,1,0,0
"116","019","F",0.75,1,2,0,0
"117","019","F",0.5,0,1,1,0
"125","023","M",0.25,0,1,0,0
"126","023","M",0,0,0,0,0
"127","023","F",0.5,1,0,NA,NA
"128","023","F",0,0,0,0,0
"136","024","M",0,0,0,0,0
"137","024","M",0.25,0,1,0,0
"138","024","F",1.25,2,2,1,0
"139","024","F",1.25,1,2,2,0
"147","025","M",0.5,0,2,0,0
"148","025","M",0.25,0,1,0,0
"149","025","F",0.5,1,0,1,0
"150","025","F",1.5,1,3,2,0
"158","027","M",0.5,0,2,0,0
"159","027","M",0,0,0,0,0
"160","027","F",0.75,1,2,0,0
"161","027","F",0.75,1,2,0,0
"169","030","M",1,1,3,0,0
"170","030","M",1.25,2,3,0,0
"171","030","F",1.5,2,2,2,0
"172","030","F",1,1,3,0,0
"180","032","M",0.75,0,2,1,0
"181","032","M",0.75,0,3,0,0
"182","032","F",1,1,3,0,0
"183","032","F",0.75,0,2,1,0
"191","036","M",0.25,0,1,0,0
"192","036","M",0.25,0,1,0,0
"193","036","F",2,2,3,2,1
"194","036","F",1,2,1,1,0
"203","037","M",0.25,0,1,0,0
"204","037","M",1.25,2,3,0,0
"205","037","F",1.75,2,2,3,0
"206","037","F",1.5,1,2,3,0
"215","038","M",1.5,2,2,0,2
"216","038","F",1,1,2,1,0
"217","038","F",1,1,2,1,0
"226","041","M",0.25,0,1,0,0
"227","041","M",0.25,1,0,0,0
"228","041","F",0.5,1,1,0,0
"245","043","M",0.25,0,0,0,1
"246","043","M",1,0,2,1,1
"247","043","F",0.75,0,1,2,0
"248","043","F",1.25,1,2,2,0
"256","044","M",1.5,1,3,2,0
"257","044","M",1.25,1,2,0,2
"258","044","F",1.25,1,2,2,0
"259","044","F",2.25,3,3,3,0
"267","046","M",0.25,0,1,0,0
"268","046","M",0.25,0,0,1,0
"269","046","F",0.75,2,1,0,0
"270","046","F",0.5,1,0,1,0
"279","051","M",1.5,2,1,NA,NA
"280","051","M",1.25,2,1,1,1
"281","051","F",2,2,2,2,2
"282","051","F",1.5,2,1,NA,NA
"290","053","M",1.25,0,3,1,1
"291","053","M",0.75,0,2,1,0
"292","053","F",1.25,1,2,2,0
"293","053","F",0.75,1,1,1,0
"302","057","M",0.75,2,1,0,0
"303","057","F",1.25,2,1,2,0
"304","057","F",1,1,0,3,0
"312","058","M",0.25,1,0,0,0
"313","058","M",0.5,0,1,1,0
"314","058","F",0,0,0,0,0
"315","058","F",0.75,0,1,1,1
"323","061","M",0.5,0,2,0,0
"324","061","M",0.5,1,0,1,0
"325","061","F",0.75,2,0,1,0
"326","061","F",1,2,1,1,0
"334","072","M",1.25,2,1,2,0
"335","072","M",0.75,2,1,0,0
"336","072","F",1.5,1,2,2,1
"337","072","F",1.5,2,1,NA,NA
"345","078","M",0.25,1,0,0,0
"346","078","M",0.5,0,0,2,0
"347","078","F",0.25,1,0,0,0
"348","078","F",0,0,0,0,0
